Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.7734626926726094,0.4568993639892915,1.0
10.0,2.0454509128921625,1.1380050348347832,0.9711815561959655
15.0,3.0876026491099484,1.4310345209714666,0.9285714285714286
20.0,5.420922073835264,1.385989364765796,1.0
25.0,8.551896095648846,1.3506541941971528,1.0
30.0,13.462780453607618,1.7129017674745954,1.0
35.0,18.605321861175348,1.682066143369775,1.0
39.99,26.6576326079298,1.2479233653770248,1.0
40.025,26.74628790214443,1.3153873219604548,1.0
45.0,39.648613571954726,0.9094627873428028,1.0
50.0,43.69600171793105,0.894069018117528,1.0
55.0,48.09029508657169,0.830668608259888,1.0
60.0,52.849698931985266,0.9612150236173558,1.0
65.0,57.81574043997179,0.9610971080319267,1.0
70.0,63.37976916322381,1.0001414580725847,1.0
75.0,69.50668226149253,0.7612422792707761,1.0
80.0,73.89217343848497,0.8154191775993134,1.0
85.0,78.68097414851364,0.8603005149059548,1.0
90.0,83.63204512440127,0.9783705689144138,1.0
95.0,87.90723012272224,0.6174586573569324,1.0
100.0,93.57929629434788,1.1941583348202702,1.0
105.0,98.51280579696244,1.237871112920847,1.0
110.0,102.72587506948815,0.6784765233891639,1.0
115.0,107.75460037353773,0.6429448820703171,1.0
120.0,112.8187468096447,0.570274914414149,1.0
