Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.7734626926726094,0.4568993639892915,1.0
10.0,2.0454509128921625,1.1380050348347832,0.9711815561959655
15.0,3.0876026491099484,1.4310345209714666,0.9285714285714286
20.0,5.420922073835264,1.385989364765796,1.0
25.0,8.551896095648846,1.3506541941971528,1.0
30.0,13.462780453607618,1.7129017674745954,1.0
35.0,18.605321861175348,1.682066143369775,1.0
35.99,19.815564363668212,1.510380090933681,1.0
36.025,24.027757579111185,5.283772850465525,1.0
40.0,35.236424020578745,1.215328081580274,0.993421052631579
45.0,38.96955783022328,0.9310045137977492,1.0
50.0,43.210196653425704,0.8664198406512049,1.0
55.0,47.91629124131061,0.9484286005897894,1.0
60.0,52.680507870863956,0.8919053559355807,1.0
65.0,57.67346557889792,0.9256842321726975,1.0
70.0,63.23271345624059,1.0049824492841446,1.0
75.0,69.41556204333503,0.9504875907629967,1.0
80.0,73.84574584336701,0.7929724135525064,1.0
85.0,78.76768140787445,0.9316300480762594,1.0
90.0,83.58439381114441,0.984501626651956,1.0
95.0,87.89823205598208,0.5587974314284853,1.0
100.0,93.55966724336417,1.196127839408164,1.0
105.0,98.47951408636277,1.1960978834300708,1.0
110.0,102.70877153962702,0.673516718637363,1.0
115.0,107.68901397126605,0.7926410183452999,1.0
120.0,112.82458945102427,0.49314949726554635,1.0
