Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
30.0,11.521920773318307,1.9503632337248458,0.9942363112391931
35.0,16.246507749331666,2.312085953877202,1.0
35.99,17.578847417605783,2.3907407282879016,1.0
36.025,17.279686551136958,2.418466770121246,0.4349775784753363
40.0,34.14315988264342,2.5788914396300084,0.9794721407624634
45.0,37.81154233035789,1.5999082287361066,1.0
50.0,41.95410258608541,1.4178589845745022,1.0
55.0,46.38132410902942,1.562391304164737,1.0
60.0,50.97926603754139,1.4232303270880662,1.0
65.0,56.0973453375637,1.424052879935077,1.0
70.0,61.95582304267764,1.2380877008138516,1.0
75.0,68.02661194400595,1.5104071732154305,1.0
80.0,72.65774083501276,1.3136518748926582,1.0
85.0,77.27947238343216,1.3604799881979317,1.0
90.0,82.01150349738205,1.3629008132834053,1.0
95.0,87.1076428305846,1.4563293831425372,1.0
100.0,92.14771197158726,1.5215208318219726,1.0
105.0,96.98323532646009,1.5017463309823151,1.0
110.0,101.97851187626304,1.4719907553789162,1.0
115.0,106.99992883349981,1.4966748140677393,1.0
120.0,112.04251988285537,1.515955964482667,1.0
