Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.8670897593675662,0.4723186055242842,0.9596541786743515
10.0,2.2279781137052437,1.2096630440787446,0.9640718562874252
15.0,3.279655912796361,1.8029781944640408,0.9769452449567724
20.0,5.110208343676899,1.6803259080375175,0.9941002949852508
25.0,7.922643777442154,1.4755534311291656,1.0
30.0,12.035769134769758,1.6017975413167496,1.0
31.99,14.564740018892874,2.0674721838220784,1.0
32.025,32.0232407377009,0.0032422107825456083,1.0
35.0,30.142516454154528,2.50150547117462,0.9798270893371758
40.0,33.897154234731445,1.046101749123624,0.9939577039274925
45.0,38.00264888045101,1.0626688960395316,1.0
50.0,42.281499291207375,0.9806619634959512,1.0
55.0,47.17142337472434,1.0842348528599584,1.0
60.0,51.602945973793815,1.1871185929616812,1.0
65.0,56.974148843269596,1.1139181962523688,1.0
70.0,62.670727262641755,1.0976607121397666,1.0
75.0,68.69565329446421,0.984115864446473,1.0
80.0,73.46549255728111,0.9981617300317083,1.0
85.0,78.12140442367145,0.9563294130841716,1.0
90.0,83.07195430387583,1.1180418461040753,1.0
95.0,87.90667093311622,1.1307350010751105,1.0
100.0,93.02568554012633,1.3243886926432735,1.0
105.0,98.03047911346293,1.3964925092731368,1.0
110.0,103.04848185279081,1.3573782507987215,1.0
115.0,108.39416573113115,1.6490442913413377,1.0
120.0,113.60319075086167,1.9088844075942986,1.0
