Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
30.0,11.521920773318307,1.9503632337248458,0.9942363112391931
33.99,15.418268677131696,2.017887841442074,0.9971181556195965
34.025,15.18916509192782,1.8818745516747708,0.4349775784753363
35.0,23.581625195471894,5.246502333280076,0.9048991354466859
40.0,33.77419423054412,2.258233723397391,0.975609756097561
45.0,37.59088989713309,1.452120586830011,0.9942028985507246
50.0,41.548018978316065,1.3763333361127288,1.0
55.0,46.250551121021275,1.4224314813084376,1.0
60.0,50.98095004948547,1.4684719920454798,1.0
65.0,56.0182584097409,1.368618376675906,1.0
70.0,61.874709641588815,1.2762801980155922,1.0
75.0,68.09578476973269,1.4030437794967086,1.0
80.0,72.62554908260736,1.3381717931542536,1.0
85.0,77.25775613509711,1.3135923499058126,1.0
90.0,81.9960628435072,1.322922070509069,1.0
95.0,87.09842905138362,1.4534172535297658,1.0
100.0,92.05708134476495,1.4560658942011246,1.0
105.0,96.96282609813235,1.4736804378609307,1.0
110.0,101.95437157149645,1.4634574052248384,1.0
115.0,106.97132540867197,1.5104336928727897,1.0
120.0,111.45379444601761,1.1358692627882592,1.0
