Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.7210340371741513,0.42658044128241823,1.0
10.0,1.9669365210385905,1.0963769992046841,0.9827089337175793
15.0,2.9002072764465296,1.5364136088598443,0.9878787878787879
20.0,5.112072844080835,1.2719173016879661,0.9942363112391931
25.0,8.56819906822345,1.329100765831453,1.0
27.99,11.347736549967365,1.4607280275234813,1.0
28.025,17.507286824857015,7.1892696081422995,0.9970588235294118
30.0,24.866845844275378,3.1197861384282186,0.9506172839506173
35.0,29.44936650598968,1.0904818769664977,0.9968051118210862
40.0,33.416086101366275,1.1798026758279243,1.0
45.0,37.86059422622121,0.89427713413037,1.0
50.0,42.40603497149543,0.8328578521868955,1.0
55.0,47.10623676084373,0.8207000773430227,1.0
60.0,51.942192766626576,0.7759656157958769,1.0
65.0,56.966571968628266,0.8125493364114365,1.0
70.0,62.81229692405776,0.7325556748994547,1.0
75.0,69.01547589839936,0.7952829915655609,1.0
80.0,73.46617944378757,0.7271623235441436,1.0
85.0,78.1354554393715,0.6430928121318675,1.0
90.0,82.92793767283199,0.6128538485998702,1.0
95.0,87.76977227726273,0.5981766482146087,1.0
100.0,92.6810459513896,0.6064900364026363,1.0
105.0,97.63786995421891,0.6234405569312846,1.0
110.0,102.61605897468034,0.6889116509823541,1.0
115.0,107.63930562603544,0.708671293759425,1.0
120.0,112.70690152167086,0.5287187116427607,1.0
