Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.8670897593675662,0.4723186055242842,0.9596541786743515
10.0,2.2279781137052437,1.2096630440787446,0.9640718562874252
15.0,3.279655912796361,1.8029781944640408,0.9769452449567724
20.0,5.110208343676899,1.6803259080375175,0.9941002949852508
25.0,7.922643777442154,1.4755534311291656,1.0
30.0,12.035769134769758,1.6017975413167496,1.0
33.99,16.688943396142893,1.8288397401427654,1.0
34.025,33.03145858649636,0.697987382203637,1.0
35.0,27.14097744545945,4.688009801539223,0.9704142011834319
40.0,34.28225854054431,1.3363057651000667,0.9964664310954063
45.0,38.173435376101594,1.1535825539637765,1.0
50.0,42.6119597931392,1.0891275377271237,1.0
55.0,47.30509500660636,1.1254205983778238,1.0
60.0,52.08287958120998,1.0406401964768603,1.0
65.0,57.09590366538398,1.0855619080732348,1.0
70.0,62.737909861594545,1.0346493498155098,1.0
75.0,68.7309034614067,0.9116638496416594,1.0
80.0,73.54667797115837,1.0536640906996075,1.0
85.0,78.13623258796372,0.9578181403476558,1.0
90.0,83.12954841654684,1.0635504257418076,1.0
95.0,87.93137386033172,1.1360911857865654,1.0
100.0,92.80906939533608,1.1712999531667025,1.0
105.0,98.07663067358382,1.3585050751133283,1.0
110.0,103.08048944851049,1.3344055221112305,1.0
115.0,108.39789590602761,1.671896247724383,1.0
120.0,112.32416447250559,0.8426826532133113,1.0
