Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.7210340371741513,0.42658044128241823,1.0
10.0,1.9669365210385905,1.0963769992046841,0.9827089337175793
15.0,2.9002072764465296,1.5364136088598443,0.9878787878787879
20.0,5.112072844080835,1.2719173016879661,0.9942363112391931
25.0,8.56819906822345,1.329100765831453,1.0
29.99,13.474220924993976,1.6001826711328682,1.0
30.025,18.979013054179617,6.85977975566513,0.9971181556195965
35.0,29.98035540123677,1.1309158168483808,0.9942857142857143
40.0,33.78144361858879,0.9531983893884379,1.0
45.0,38.071670075168974,0.7923081827543331,1.0
50.0,42.536732099921835,0.8969448122209589,1.0
55.0,47.20702283989999,0.8407268727631501,1.0
60.0,52.02558438684111,0.7945949063104819,1.0
65.0,57.01729467153289,0.8483413797032738,1.0
70.0,62.82015849030383,0.7276769069158071,1.0
75.0,69.02811962680485,0.8647341586711624,1.0
80.0,73.50010347492764,0.6745897414104386,1.0
85.0,78.1685419665068,0.6338733018146498,1.0
90.0,82.94525287797093,0.6148132299193135,1.0
95.0,87.804491177685,0.5917408662423257,1.0
100.0,92.71040164346428,0.6041626553442327,1.0
105.0,97.65937532531761,0.6380245213442023,1.0
110.0,102.62170332006009,0.7505075820927142,1.0
115.0,107.64777881266524,0.6914168059144171,1.0
120.0,112.74757005150781,0.502204504734825,1.0
