Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.8670897593675662,0.4723186055242842,0.9596541786743515
10.0,2.2279781137052437,1.2096630440787446,0.9640718562874252
15.0,3.279655912796361,1.8029781944640408,0.9769452449567724
20.0,5.110208343676899,1.6803259080375175,0.9941002949852508
25.0,7.922643777442154,1.4755534311291656,1.0
30.0,12.035769134769758,1.6017975413167496,1.0
35.0,17.570506431675554,2.3182168323462427,1.0
39.99,26.207739073489513,1.8818267343366943,1.0
40.025,26.140898463014178,1.575552757472173,1.0
45.0,39.23984423546283,1.3327272862029824,1.0
50.0,43.21730236700167,1.0312130661282892,1.0
55.0,47.571872839826135,1.126875062812768,1.0
60.0,52.37275959922698,1.080975407502957,1.0
65.0,57.3181082318265,1.1285997591542973,1.0
70.0,62.876442401476645,1.0157067299426557,1.0
75.0,68.80186321602581,0.8976979721460344,1.0
80.0,73.61657832254751,0.9707689179506864,1.0
85.0,78.25634392553847,1.0149296851769902,1.0
90.0,83.16043838685395,1.1544624583290775,1.0
95.0,88.01274055831634,1.0801377894076356,1.0
100.0,92.89134316018087,1.1088524829435773,1.0
105.0,97.80722518167974,1.1297083286954457,1.0
110.0,103.25132795342698,1.4126057162153194,1.0
115.0,108.44335883674015,1.6526190780895869,1.0
120.0,112.38981452102037,0.8458537109067975,1.0
