Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
30.0,11.521920773318307,1.9503632337248458,0.9942363112391931
35.0,16.246507749331666,2.312085953877202,1.0
39.99,25.340374990298123,2.6940785573744708,1.0
40.025,25.14601346080712,2.599432287949162,1.0
45.0,38.55214162207261,1.9822439968818055,0.9968652037617555
50.0,42.43951168442629,1.3679991702563945,0.9970588235294118
55.0,46.70144831824962,1.4058100005055205,1.0
60.0,51.309633627742485,1.4685379927153652,1.0
65.0,56.35483860897852,1.6008005859975132,1.0
70.0,62.07678791043222,1.2485633877401792,1.0
75.0,68.11124923951455,1.3365536565208653,1.0
80.0,72.71018735523724,1.252457737209319,1.0
85.0,77.3388290653864,1.3084759776304702,1.0
90.0,82.08255176815587,1.2827326138418416,1.0
95.0,87.17835787051375,1.467655415364563,1.0
100.0,92.18834434979541,1.514550257898321,1.0
105.0,97.02775115823114,1.4959761723820846,1.0
110.0,101.46254886128597,1.216281786387338,1.0
115.0,107.0224914788154,1.5278978029601356,1.0
120.0,111.48471195214199,1.143615640170937,1.0
