Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.8670897593675662,0.4723186055242842,0.9596541786743515
10.0,2.2279781137052437,1.2096630440787446,0.9640718562874252
15.0,3.279655912796361,1.8029781944640408,0.9769452449567724
20.0,5.110208343676899,1.6803259080375175,0.9941002949852508
25.0,7.922643777442154,1.4755534311291656,1.0
29.99,12.467572385235904,1.803343441154141,1.0
30.025,30.00805180821603,0.003978827438789623,1.0
35.0,29.936956559557018,1.3930462528625782,0.9837662337662337
40.0,33.461830955281634,1.1973246015034729,1.0
45.0,37.75855882769027,1.1915669858692972,1.0
50.0,42.363604222898616,1.1592168017217737,1.0
55.0,47.02877727155672,1.2019200946608852,1.0
60.0,51.84157268757757,1.1701423391902406,1.0
65.0,56.89389229000025,1.102119957855542,1.0
70.0,62.63879066232265,0.985840241628436,1.0
75.0,68.66767437964518,0.9526742940569493,1.0
80.0,73.45307474800435,1.1027180861043389,1.0
85.0,78.0924775313184,0.9518830669244582,1.0
90.0,83.03971390193587,1.1407362694330974,1.0
95.0,87.87560799615312,1.147379712551825,1.0
100.0,92.95151301597272,1.3233258195495545,1.0
105.0,98.03357620857437,1.4163603983122888,1.0
110.0,103.01514688989877,1.370781255818453,1.0
115.0,108.3629057376353,1.6945839261692777,1.0
120.0,113.61313430178011,1.8808193630178458,1.0
