Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
29.99,11.47131258034782,2.041169905705967,0.9971098265895953
30.025,11.31399354133734,1.7405361654853682,0.4349775784753363
35.0,29.075619062105776,2.592427837544203,0.9601769911504425
40.0,32.9794214287226,1.6748220268790228,1.0
45.0,36.98445360240326,1.242223409100592,1.0
50.0,41.445817784042916,1.4063982469707352,1.0
55.0,46.130673484782456,1.4589874763432353,1.0
60.0,50.97185224453885,1.4114594406284033,1.0
65.0,55.81926284084717,1.4017618107947698,1.0
70.0,61.749333549034255,1.2040430395567456,1.0
75.0,68.06414172467244,1.3409688606012502,1.0
80.0,72.57323139352279,1.3202042240388565,1.0
85.0,77.19065637149937,1.3360826863483282,1.0
90.0,81.93781725822897,1.2893498155073222,1.0
95.0,87.09424080531092,1.4589467649711745,1.0
100.0,92.06997106050456,1.6933683102792556,1.0
105.0,97.1035519650952,1.5066423273059133,1.0
110.0,101.87577323082051,1.5472359424278832,1.0
115.0,106.37709953156076,1.2440366003542274,1.0
120.0,111.40965501901934,1.2222977732851092,1.0
