Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
30.0,11.521920773318307,1.9503632337248458,0.9942363112391931
31.99,13.140706852545641,2.2721061359961334,1.0
32.025,12.758363425432655,2.261399762003624,0.4349775784753363
35.0,28.98160685450729,3.986535122855761,0.9236641221374046
40.0,33.41939606172831,2.0237641619235265,0.9896193771626297
45.0,37.234317999255445,1.4493864279470008,1.0
50.0,41.4146624641165,1.3652038422066586,1.0
55.0,46.21876301776514,1.4842768102772548,1.0
60.0,51.0390950201841,1.3739781862957416,1.0
65.0,55.92292227733531,1.3815409018449314,1.0
70.0,61.8034883397229,1.2635140070689403,1.0
75.0,68.0790731545088,1.3803802591654806,1.0
80.0,72.59902975993401,1.322620835234805,1.0
85.0,76.8925458998458,1.619824394066167,1.0
90.0,81.94760579828716,1.379293146002034,1.0
95.0,87.10854543994056,1.4478243513485096,1.0
100.0,92.08287416858381,1.5122808380560837,1.0
105.0,97.10307727371604,1.5638557475488815,1.0
110.0,101.93143420641448,1.4551070990815473,1.0
115.0,106.95117724098942,1.4813013011431435,1.0
120.0,111.43318463528023,1.1726202014945737,1.0
