Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
30.0,11.521920773318307,1.9503632337248458,0.9942363112391931
35.0,16.246507749331666,2.312085953877202,1.0
37.99,20.075934953178415,2.195915215587377,1.0
38.025,19.76404124714068,2.1937329297659023,0.4349775784753363
40.0,31.749901484144708,4.078435736506426,0.9643916913946587
45.0,38.25600552836829,1.7516161447634855,0.9895470383275261
50.0,42.24699321008282,1.29719441322744,1.0
55.0,46.55680791931806,1.474776362695524,1.0
60.0,51.20826621765424,1.5199870079784046,1.0
65.0,56.18651975137321,1.4280096987355404,1.0
70.0,62.03293656145834,1.2203345148987559,1.0
75.0,68.06855431727547,1.397348340563283,1.0
80.0,72.70015011260126,1.2088446153385186,1.0
85.0,77.32102868885076,1.2847539713216047,1.0
90.0,82.05360744555152,1.3073689281881018,1.0
95.0,87.17214421876928,1.504374217630096,1.0
100.0,92.12317304851028,1.5299837401550966,1.0
105.0,97.02351381750503,1.452969530633454,1.0
110.0,101.99196321513746,1.5179392286618651,1.0
115.0,106.46339220670318,1.191530806755937,1.0
120.0,111.46556784982434,1.1767212606203419,1.0
